实习职位,实习薪资,工作地点,实习天数,实习月份
视觉设计实习生,100-150/天,成都,5天/周,4个月
游戏运营助理,150-200/天,广州,5天/周,4个月
Android开发工程师,150-200/天,广州,5天/周,4个月
运营分析实习生,150-200/天,北京,3天/周,5个月
设计实习生,150-200/天,深圳,5天/周,5个月
运营管理培训生,100-150/天,广州,3天/周,3个月
审核实习生,100-150/天,温州,5天/周,13个月
市场部实习生,100-120/天,北京,4天/周,16个月
审核运营实习生,80-90/天,西安,5天/周,3个月
运营助理（实习）,50-100/天,广州,4天/周,4个月
视觉设计实习生,100-150/天,成都,5天/周,4个月
游戏运营助理,150-200/天,广州,5天/周,4个月
Android开发工程师,150-200/天,广州,5天/周,4个月
运营分析实习生,150-200/天,北京,3天/周,5个月
设计实习生,150-200/天,深圳,5天/周,5个月
运营管理培训生,100-150/天,广州,3天/周,3个月
审核实习生,100-150/天,温州,5天/周,13个月
市场部实习生,100-120/天,北京,4天/周,16个月
审核运营实习生,80-90/天,西安,5天/周,3个月
运营助理（实习）,50-100/天,广州,4天/周,4个月
web前端开发实习生,120-200/天,广州,5天/周,7个月
室内设计实习生,100-110/天,"上海,南通",5天/周,6个月
新媒体运营实习生,100-150/天,全国,1天/周,6个月
Java/MatLab/OpenCV开发实习生,100-150/天,广州,4天/周,5个月
产品实习生,90-180/天,广州,5天/周,7个月
动画特效师（校招）,100-150/天,广州,5天/周,4个月
运营实习生(15197),150-250/天,上海,4天/周,4个月
电商产品选品专员,100-150/天,保定,5天/周,5个月
新媒体运营/内容编辑/音频编辑,100-150/天,广州,5天/周,4个月
平面设计,50-100/天,宁波,1天/周,6个月
iOS开发实习生,150-300/天,广州,5天/周,6个月
审核专员,面议,承德,5天/周,4个月
软件工程技术管理培训实习生,150-200/天,上海,4天/周,28个月
社群内容运营,100-150/天,北京,3天/周,4个月
ui设计实习生,100-150/天,北京,3天/周,10个月
交互设计实习生,100-150/天,北京,3天/周,11个月
系统测试实习生,200-250/天,深圳,4天/周,9个月
web实习生,100-150/天,福州,4天/周,4个月
运营实习生,150-200/天,北京,4天/周,7个月
语文学科编辑,200-250/天,北京,4天/周,5个月
管理培训生,100-150/天,北京,5天/周,4个月
审核实习生,80-90/天,西安,5天/周,3个月
内容运营专员（房产APP）,100-150/天,北京,5天/周,5个月
企划实习,150-200/天,深圳,3天/周,4个月
线上课程运营实习生,150-200/天,北京,3天/周,4个月
平面设计,100-150/天,上海,3天/周,4个月
易项直通车-融资助理,150-200/天,"北京,天津",3天/周,3个月
前端开发工程师校招（实习）,250-300/天,"杭州,深圳",5天/周,3个月
词典研发实习生（偏研发方向）,150-200/天,北京,5天/周,4个月
游戏客服专员,100-150/天,广州,5天/周,6个月
售后实施工程师,面议,北京,5天/周,4个月
新闻编辑实习,100-150/天,上海,3天/周,6个月
审核实习生,80-90/天,西安,5天/周,3个月
数据项目实习生-3,150-200/天,北京,5天/周,4个月
实施工程师,120-150/天,乌鲁木齐,4天/周,13个月
用户运营实习生,100-150/天,上海,3天/周,4个月
PPT设计师,100-150/天,郑州,5天/周,10个月
iOS开发实习生,100-150/天,广州,4天/周,4个月
用户运营实习生,100-150/天,成都,3天/周,4个月
内容运营实习生,100-150/天,北京,4天/周,4个月
编辑助理,150-200/天,上海,2天/周,12个月
关卡策划实习生,200-250/天,上海,5天/周,6个月
审核实习生,80-90/天,西安,5天/周,3个月
课程顾问助理,50-100/天,广州,4天/周,4个月
java工程师,500-800/天,杭州,5天/周,12个月
机械设计师,100-150/天,北京,4天/周,4个月
数据项目标注/质检实习生-1,100-150/天,北京,5天/周,4个月
网络运维专员,50-100/天,"宁波,成都",5天/周,3个月
技术支持,100-150/天,桂林,5天/周,5个月
运营推广实习生,100-150/天,北京,3天/周,10个月
淘宝运营助理实习生,150-200/天,杭州,4天/周,5个月
测试开发工程师校招（实习）,250-300/天,"杭州,深圳",5天/周,3个月
平面设计实习生,50-100/天,武汉,4天/周,4个月
IT&互联网方向猎头实习生,100-150/天,上海,4天/周,5个月
头条寻人项目实习生-两岸寻亲,150-200/天,北京,4天/周,7个月
新媒体编辑实习生(2020届),100-150/天,广州,3天/周,4个月
eBay 助理,1-2/天,深圳,5天/周,4个月
用户运营实习生,100-150/天,上海,3天/周,4个月
运营实习生,100-150/天,北京,3天/周,4个月
基础运营实习生,150-200/天,上海,4天/周,4个月
品牌公关（实习）,面议,北京,4天/周,4个月
算法工程师-机器学习（校招实习,250-300/天,"杭州,深圳",4天/周,3个月
运营编辑实习生,100-150/天,北京,4天/周,12个月
数据采集,100-150/天,武汉,4天/周,6个月
测试开发实习生,300-400/天,北京,4天/周,5个月
销售代表（定向管培晋升方向）,200-250/天,武汉,6天/周,8个月
神经网络算法工程师,300-400/天,上海,5天/周,9个月
产品运营文员（实习生,面议,合肥,5天/周,10个月
研究助理,100-150/天,武汉,3天/周,4个月
技术支持工程师,50-100/天,成都,5天/周,5个月
嵌入式软件工程师,150-200/天,北京,5天/周,4个月
金融编辑实习生,100-150/天,上海,4天/周,10个月
平面设计师,100-150/天,青岛,5天/周,10个月
嵌入式软件工程师,150-200/天,北京,5天/周,4个月
美工实习生,50-100/天,上海,5天/周,4个月
客户专员,面议,成都,5天/周,4个月
游戏运营实习生,100-150/天,北京,4天/周,10个月
外贸产品开发助理,100-150/天,广州,5天/周,4个月
语言类专业实习生,100-150/天,北京,5天/周,4个月
语音识别标注员,100-150/天,北京,3天/周,4个月
爬虫工程师（实习,150-200/天,上海,3天/周,3个月
前端工程师,100-150/天,上海,3天/周,4个月
数据分析实习生,200-250/天,北京,4天/周,6个月
跨境电商运营专员,面议,杭州,5天/周,4个月
投资交易系统研发,150-200/天,北京,3天/周,9个月
语音标注实习,150-200/天,无锡,5天/周,7个月
IT技术支持,100-150/天,上海,5天/周,4个月
ebay德语运营,150-200/天,上海,5天/周,5个月
审核实习生,100-150/天,承德,5天/周,4个月
开发测试实习生,100-150/天,苏州,5天/周,12个月
IT Engineer (Intern),150-200/天,江门,5天/周,4个月
实习编辑,100-150/天,上海,3天/周,3个月
SEM实习生,50-100/天,上海,4天/周,3个月
内容审核,100-150/天,北京,4天/周,6个月
内容编辑实习生,100-150/天,北京,4天/周,4个月
产品设计实习生,100-150/天,上海,3天/周,4个月
自动化测试实习生,150-200/天,上海,4天/周,10个月
PHP开发工程师,100-150/天,杭州,5天/周,4个月
运营实习生,100-150/天,西安,5天/周,12个月
坐班图片拍照整理实习,100-150/天,北京,3天/周,2个月
内容/活动策划运营执行（实习,150-200/天,深圳,4天/周,4个月
页面制作工程师,100-150/天,桂林,5天/周,5个月
运营实习生,100-150/天,北京,5天/周,4个月
产品服务顾问,100-150/天,杭州,4天/周,4个月
运营实习生,100-150/天,北京,3天/周,3个月
平面设计（实习生）,150-200/天,北京,5天/周,9个月
考研帮-数据采集实习生,100-150/天,北京,3天/周,4个月
门店实习生,100-150/天,德州,5天/周,4个月
